"","Trial","Value_SS","Delay","Val_prc","Choice","RT","respSide","loopID","realID","Drug","Value_LL","Condition"
"1",1,20,1,1.02,0,2.2054,0,1,"Subject_1","2",20.4,2
"2",2,20,1,1.2,1,2.1766,0,1,"Subject_1","2",24,2
"3",3,100,5,1.01,1,3.182,0,1,"Subject_1","2",101,1
"4",4,20,8,2,1,2.1525,0,1,"Subject_1","2",40,2
"5",5,20,14,7,1,1.9924,0,1,"Subject_1","2",140,2
"6",6,20,1,1.1,0,2.8691,1,1,"Subject_1","2",22,2
"7",7,20,3,1.5,1,1.5741,0,1,"Subject_1","2",30,2
"8",8,20,8,5,1,2.0503,0,1,"Subject_1","2",100,2
"9",9,20,14,1.2,0,1.5964,0,1,"Subject_1","2",24,2
"10",10,100,3,1.05,0,1.7445,1,1,"Subject_1","2",105,1
"11",11,20,30,1.02,0,1.8925,0,1,"Subject_1","2",20.4,2
"12",12,100,5,4,1,1.3603,0,1,"Subject_1","2",400,1
"13",13,100,30,10,1,1.3866,0,1,"Subject_1","2",1000,1
"14",14,100,30,13,0,2.2969,0,1,"Subject_1","2",1300,1
"15",15,100,5,1.2,0,1.5348,0,1,"Subject_1","2",120,1
"16",16,100,5,2.5,1,1.462,1,1,"Subject_1","2",250,1
"17",17,20,8,1.1,0,1.4836,0,1,"Subject_1","2",22,2
"18",18,100,8,2,0,1.5879,0,1,"Subject_1","2",200,1
"19",19,20,30,2,0,2.0482,1,1,"Subject_1","2",40,2
"20",20,100,60,10,0,2.0172,0,1,"Subject_1","2",1000,1
"21",21,100,3,2,1,1.4751,0,1,"Subject_1","2",200,1
"22",22,100,5,1.05,0,1.6956,1,1,"Subject_1","2",105,1
"23",23,20,1,1.01,0,1.5412,1,1,"Subject_1","2",20.2,2
"24",24,100,5,1.5,0,1.7694,0,1,"Subject_1","2",150,1
"25",25,100,5,7,1,1.1953,1,1,"Subject_1","2",700,1
"26",26,100,60,1.05,0,1.1474,0,1,"Subject_1","2",105,1
"27",27,20,3,7,1,1.8254,0,1,"Subject_1","2",140,2
"28",28,100,3,1.02,0,1.2566,1,1,"Subject_1","2",102,1
"29",29,100,8,4,1,1.1855,0,1,"Subject_1","2",400,1
"30",30,20,60,1.01,0,1.5862,1,1,"Subject_1","2",20.2,2
"31",31,100,3,3,0,1.806,1,1,"Subject_1","2",300,1
"32",32,20,14,1.05,0,1.8105,0,1,"Subject_1","2",21,2
"33",33,20,14,1.02,0,1.7244,0,1,"Subject_1","2",20.4,2
"34",34,20,30,10,0,1.7543,0,1,"Subject_1","2",200,2
"35",35,20,14,2,0,1.4828,0,1,"Subject_1","2",40,2
"36",36,20,30,4,1,1.6531,0,1,"Subject_1","2",80,2
"37",37,20,1,1.5,1,1.8001,1,1,"Subject_1","2",30,2
"38",38,100,60,2.5,0,1.4112,1,1,"Subject_1","2",250,1
"39",39,100,30,7,0,1.8107,0,1,"Subject_1","2",700,1
"40",40,100,1,13,1,1.5307,0,1,"Subject_1","2",1300,1
"41",41,100,3,7,1,1.8003,1,1,"Subject_1","2",700,1
"42",42,100,1,1.1,0,1.232,0,1,"Subject_1","2",110,1
"43",43,20,1,3,1,1.7768,0,1,"Subject_1","2",60,2
"44",44,100,5,1.02,0,1.5626,1,1,"Subject_1","2",102,1
"45",45,20,3,1.1,0,1.5382,1,1,"Subject_1","2",22,2
"46",46,20,8,2.5,0,1.6696,1,1,"Subject_1","2",50,2
"47",47,20,30,13,0,1.4975,0,1,"Subject_1","2",260,2
"48",48,100,60,1.1,0,1.5354,0,1,"Subject_1","2",110,1
"49",49,20,60,13,0,1.5047,0,1,"Subject_1","2",260,2
"50",50,20,14,10,1,1.525,0,1,"Subject_1","2",200,2
